Name point,site,Address,Zipcode,City,Phone number,Name Retailer/Venue/Museum,Status,Phone ON,Entrance fee?,Opening hours,Start date,End date ,Approved by sales,Added to map,Deleted from map
MIAT,http://www.miat.gent.be/en/activities/expo-made-by-children-child-labour-then-and-now,Minnemeers 10,9000,Gent,09-233 07 39,MIAT,Museum,yes,No,,20/11/2016,07/01/2018,,,
Als Ooit Expo,http://www.artforum.be/alsooit,Vaartkom 4,3000,Leuven,016-24 66 24,Artforum,Venue,yes,Yes,,13/11/2016,04/12/2106,,,
Oxfam Solidarité/Oxfam Solidariteit,https://www.oxfamsol.be/fr/testez-le-fairphone-dans-un-magasin-oxfam,ChaussÃ©e d'Ixelles 252,1050,Ixelles,0032-(0)2 647 48 51,Oxfam Computershop Ixelles ,Shop,Yes,No,Mo-Sa 10:00-18:00,24/02/2017,,Romane,24/02/2017,
