Location,site,Address,Zipcode,City,Phone number,Name Retailer/Venue/Museum,Status,Phone ON,Entrance fee?,Opening hours,Start date,End date ,Approved by sales,Added to map,Deleted from map
LONDON DESIGN MUSEUM,http://designmuseum.org/exhibitions/designer-maker-user,224 - 238 Kensington High Street,W8 6AG,London,44 20 3862 5900,London Design Museum,Museum,no,Free,Daily 10.00 - 18.00,42675,5-7 years,,42710,
National Museums Scotland,http://www.nms.ac.uk/national-museum-of-scotland/discover-the-museum/science-and-technology/,Chambers Street,EH1 1JF,Edinburgh,0131 247 4071,National Museums Scotland,Museum,no,Free,Daily 10.00 - 17.00,42583,,,42710,
