Name point,site,Address,Zipcode,City,Phone number,Name Retailer/Venue/Museum,Status,Phone ON,Entrance fee?,Opening hours,Start date,End date ,Approved by sales,Added to map,Deleted from map
Post Luxembourg - Kirchberg,www.post.lu,"41b, Avenue John F. Kennedy",L-1855,Luxembourg,00352 -8002 8004,Post Luxembourg,Reseller shop,Yes,No,Mon - Sat 09.00 - 18.00,4/11/2016,,,,
Post Luxembourg - Centre,www.post.lu,"25, rue Aldringen",L-2019,Luxembourg,00352 -8002 8004,Post Luxembourg,Reseller shop,Yes,No,Mon - Fri 09.00 - 18.00 Sa 09.00 - 17.00,4/11/2016,,,,
Post Luxembourg - Gare,www.post.lu,"38, Place de la Gare",L-1015,Luxembourg,00352 -8002 8004,Post Luxembourg,Reseller shop,Yes,No,Mon - Fri 08.00 - 19.00 Sa 09.00 - 18.00,4/11/2016,,,,
Post Luxembourg - Cloche d'Or,www.post.lu,"2, rue Emile Bian",L-1235,Luxembourg,00352 -8002 8004,Post Luxembourg,Reseller shop,Yes,No,Mon - Sat 09.00 - 18.00,4/11/2016,,,,
Post Luxembourg - Centre Commercial City Concorde,www.post.lu,"80, rte de Longwy",L-8060,Bertrange,00352 -8002 8004,Post Luxembourg,Reseller shop,Yes,No,Mon - Thu 09.00 - 20.00 Fri 09.00 - 21.00 Sa 09.00 - 19.00,4/11/2016,,,,
Post Luxembourg - Centre CommercialLa Belle Etoile,www.post.lu,Route d'Arlon,L-8050,Bertrange,00352 -8002 8004,Post Luxembourg,Reseller shop,Yes,No,Mon - Thu 09.00 - 20.00 Fri 09.00 - 21.00 Sa 09.00 - 19.00,4/11/2016,,,,
